yahoo_symbol,Scheme Name,AMC,Plan,Option
,Union Money Market Fund - Regular Plan -  Monthly IDCW Option,Unknown,Regular,IDCW
,Union Money Market Fund - Regular Plan -  Weekly IDCW Option,Unknown,Regular,IDCW
,Union Money Market Fund - Regular Plan - Daily IDCW Option,Unknown,Regular,IDCW
0P0000XVTQ.BO,UTI MMF - Direct Plan - Growth Option,UTI Mutual Fund,Direct,Growth
0P00017PPQ.BO,UTI MMF - Regular Plan - Flexi Dividend Option,UTI Mutual Fund,Regular,IDCW
0P0000KPLJ.BO,UTI MMF - Regular Plan - Growth Option,UTI Mutual Fund,Regular,Growth
,UTI MMF- Discontinued - Regular Plan - Flexi Dividend Option,UTI Mutual Fund,Regular,IDCW
0P0001BBJ1.BO,UTI MMF- Discontinued - Regular Plan - Periodic Dividend Option,UTI Mutual Fund,Regular,IDCW
0P00005UZJ.BO,UTI MMF-Discontinued - Regular Plan -Growth,UTI Mutual Fund,Regular,Growth
0P00018S3H.BO,UTI Money Market Fund - Direct Plan - Annual IDCW,UTI Mutual Fund,Direct,IDCW
,UTI Money Market Fund - Direct Plan - Daily IDCW (Reinvestment),UTI Mutual Fund,Direct,IDCW
0P0001EEIF.BO,UTI Money Market Fund - Direct Plan - Flexi IDCW,UTI Mutual Fund,Direct,IDCW
0P00016WH0.BO,UTI Money Market Fund - Direct Plan - Fortnightly IDCW,UTI Mutual Fund,Direct,IDCW
0P00018T8P.BO,UTI Money Market Fund - Direct Plan - Half-Yearly IDCW,UTI Mutual Fund,Direct,IDCW
0P0001553C.BO,UTI Money Market Fund - Direct Plan - Monthly IDCW,UTI Mutual Fund,Direct,IDCW
0P0001CHCD.BO,UTI Money Market Fund - Direct Plan - Quarterly IDCW,UTI Mutual Fund,Direct,IDCW
0P0000XVTY.BO,UTI Money Market Fund - Direct Plan - Weekly IDCW,UTI Mutual Fund,Direct,IDCW
0P00016BX2.BO,UTI Money Market Fund - Regular Plan - Annual IDCW,UTI Mutual Fund,Regular,IDCW
,UTI Money Market Fund - Regular Plan - Daily IDCW (Reinvestment),UTI Mutual Fund,Regular,IDCW
0P00016MTY.BO,UTI Money Market Fund - Regular Plan - Fortnightly IDCW,UTI Mutual Fund,Regular,IDCW
0P000165Q5.BO,UTI Money Market Fund - Regular Plan - Half-Yearly IDCW,UTI Mutual Fund,Regular,IDCW
0P000156DD.BO,UTI Money Market Fund - Regular Plan - Monthly IDCW,UTI Mutual Fund,Regular,IDCW
,UTI Money Market Fund - Regular Plan - Quarterly IDCW,UTI Mutual Fund,Regular,IDCW
0P0000KPLK.BO,UTI Money Market Fund - Regular Plan - Weekly IDCW,UTI Mutual Fund,Regular,IDCW
0P0001W9LP.BO,360 ONE Overnight Fund - Direct Plan - Growth,360 ONE Mutual Fund,Direct,Growth
0P0001W9LS.BO,360 ONE Overnight Fund - Regular Plan - Growth,360 ONE Mutual Fund,Regular,Growth
0P0001W9LT.BO,360 ONE Overnight Fund - Regular Plan - IDCW,360 ONE Mutual Fund,Regular,IDCW
0P0001W9LQ.BO,360 ONE Overnight Fund- Direct Plan - IDCW,360 ONE Mutual Fund,Direct,IDCW
0P0001EWOO.BO,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Regular - Weekly Reinvestment of IDCW option,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular - Daily Reinvestment of IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0001EWOU.BO,ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Regular- Monthly Payout of IDCW option,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0001EWON.BO,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH,Aditya Birla Sun Life Mutual Fund,Unknown,Unknown
0P0001EWOT.BO,ADITYA BIRLA SUNLIFE OVERNIGHT FUND-REGULAR PLAN-GROWTH,Aditya Birla Sun Life Mutual Fund,Unknown,Unknown
,Axis Overnight Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,Direct,IDCW
0P0001H0SZ.BO,Axis Overnight Fund - Direct Plan - Growth Option,Axis Mutual Fund,Direct,Growth
0P0001H0SP.BO,Axis Overnight Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,Direct,IDCW
0P0001H0SO.BO,Axis Overnight Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,Direct,IDCW
,Axis Overnight Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,Regular,IDCW
0P0001H0ST.BO,Axis Overnight Fund - Regular Plan - Growth Option,Axis Mutual Fund,Regular,Growth
0P0001H0SV.BO,Axis Overnight Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,Regular,IDCW
0P0001H0SU.BO,Axis Overnight Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,Regular,IDCW
0P0001Y06Y.BO,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years IDCW Plan,Bajaj Finserv Mutual Fund,Direct,IDCW
0P0001V05D.BO,Bajaj Finserv Overnight Fund - Direct - Unclaimed less than 3 years Redemption Plan,Bajaj Finserv Mutual Fund,Direct,Unknown
,Bajaj Finserv Overnight Fund - Direct Plan - Daily - IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
0P0001R8TZ.BO,Bajaj Finserv Overnight Fund - Direct Plan - Fortnightly - IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
0P0001R8TW.BO,Bajaj Finserv Overnight Fund - Direct Plan - Growth,Bajaj Finserv Mutual Fund,Direct,Growth
0P0001R8U0.BO,Bajaj Finserv Overnight Fund - Direct Plan - Monthly - IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
0P0001R8TY.BO,Bajaj Finserv Overnight Fund - Direct Plan - Weekly - IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
,Bajaj Finserv Overnight Fund - Regular Plan - Daily - IDCW,Bajaj Finserv Mutual Fund,Regular,IDCW
0P0001R8UC.BO,Bajaj Finserv Overnight Fund - Regular Plan - Fortnightly - IDCW,Bajaj Finserv Mutual Fund,Regular,IDCW
0P0001R8U9.BO,Bajaj Finserv Overnight Fund - Regular Plan - Growth,Bajaj Finserv Mutual Fund,Regular,Growth
0P0001R8UD.BO,Bajaj Finserv Overnight Fund - Regular Plan - Monthly - IDCW,Bajaj Finserv Mutual Fund,Regular,IDCW
0P0001R8UB.BO,Bajaj Finserv Overnight Fund - Regular Plan - Weekly - IDCW,Bajaj Finserv Mutual Fund,Regular,IDCW
0P0001FINY.BO,BANDHAN Overnight Fund - Direct Plan - Daily IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001FHX1.BO,BANDHAN Overnight Fund - Direct Plan - Growth,Bandhan Mutual Fund,Direct,Growth
0P0001FHXA.BO,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001FHXJ.BO,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001FINZ.BO,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001FINX.BO,BANDHAN Overnight Fund - Regular Plan - Daily IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0001FHX3.BO,BANDHAN Overnight Fund - Regular Plan - Growth,Bandhan Mutual Fund,Regular,Growth
0P0001FHXE.BO,BANDHAN Overnight Fund - Regular Plan - Monthly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0001TVTV.BO,BANDHAN Overnight Fund - Regular Plan - Weekly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0001FHXM.BO,BANDHAN Overnight Fund - REGULAR PLAN PERIODIC IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0001J5J8.BO,BANK OF INDIA Overnight Fund Direct Plan Growth,Bank of India Mutual Fund,Direct,Growth
,BANK OF INDIA Overnight Fund Direct Plan- Daily IDCW,Bank of India Mutual Fund,Direct,IDCW
0P0001J5JA.BO,BANK OF INDIA Overnight Fund Direct Plan- Monthly IDCW,Bank of India Mutual Fund,Direct,IDCW
,BANK OF INDIA Overnight Fund Direct Plan- Weekly IDCW,Bank of India Mutual Fund,Direct,IDCW
0P0001J5JD.BO,BANK OF INDIA Overnight Fund Regular Plan Growth,Bank of India Mutual Fund,Regular,Growth
,BANK OF INDIA Overnight Fund Regular Plan- Daily IDCW,Bank of India Mutual Fund,Regular,IDCW
0P0001J5JF.BO,BANK OF INDIA Overnight Fund Regular Plan- Monthly IDCW,Bank of India Mutual Fund,Regular,IDCW
,BANK OF INDIA Overnight Fund Regular Plan- Weekly IDCW,Bank of India Mutual Fund,Regular,IDCW
,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Greater than 3 Years,Bank of India Mutual Fund,Unknown,IDCW
,BANK OF INDIA Overnight Fund Unclaimed IDCW Plan - Up to 3 Years,Bank of India Mutual Fund,Unknown,IDCW
,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Greater than 3 Years,Bank of India Mutual Fund,Unknown,Unknown
,BANK OF INDIA Overnight Fund Unclaimed Redemption Plan - Upto 3 Years,Bank of India Mutual Fund,Unknown,Unknown
,Baroda BNP Paribas Overnight Fund - Direct Plan - Daily IDCW,Unknown,Direct,IDCW
0P0001HBWY.BO,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth,Unknown,Direct,Growth
,Baroda BNP Paribas Overnight Fund - Direct Plan - Weekly IDCW,Unknown,Direct,IDCW
,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Greater than 3 years,Unknown,Unknown,IDCW
,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed IDCW - Up to 3 years,Unknown,Unknown,IDCW
,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Greater than 3 years,Unknown,Unknown,Unknown
,Baroda BNP Paribas Overnight Fund - Plan C - Unclaimed Redemption - Up to 3 years,Unknown,Unknown,Unknown
,Baroda BNP Paribas Overnight Fund - Regular Plan - Daily IDCW,Unknown,Regular,IDCW
0P0001HBX1.BO,Baroda BNP Paribas Overnight Fund - Regular Plan - Growth,Unknown,Regular,Growth
,Baroda BNP Paribas Overnight Fund - Regular Plan - Weekly IDCW,Unknown,Regular,IDCW
,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW (Reinvestment),Canara Robeco Mutual Fund,Direct,IDCW
0P0001I2LE.BO,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Direct,Growth
,CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - DAILY IDCW (Reinvestment),Canara Robeco Mutual Fund,Regular,IDCW
0P0001I2LG.BO,CANARA ROBECO OVERNIGHT FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Regular,Growth
0P0001FFDY.BO,DSP Overnight Fund - Direct Plan - Growth,DSP Mutual Fund,Direct,Growth
,DSP Overnight Fund - Direct Plan - IDCW - Daily,DSP Mutual Fund,Direct,IDCW
,DSP Overnight Fund - Direct Plan - IDCW - Weekly,DSP Mutual Fund,Direct,IDCW
0P0001FFE2.BO,DSP Overnight Fund - Regular Plan - Growth,DSP Mutual Fund,Regular,Growth
,DSP Overnight Fund - Regular Plan - IDCW - Daily,DSP Mutual Fund,Regular,IDCW
0P0001FFE3.BO,DSP Overnight Fund - Regular Plan - IDCW - Weekly,DSP Mutual Fund,Regular,IDCW
,Unclaimed IDCW - Beyond 3 years (Invested in DSP Overnight Fund),Unknown,Unknown,IDCW
,Unclaimed IDCW - Upto 3 years (Invested in DSP Overnight Fund),Unknown,Unknown,IDCW
,Unclaimed Redemption - Beyond 3 years (Invested in DSP Overnight Fund),Unknown,Unknown,Unknown
,Unclaimed Redemption - Upto 3 years (Invested in DSP Overnight Fund),Unknown,Unknown,Unknown
0P0001I39O.BO,Edelweiss Overnight Fund - Direct Plan - Annual - IDCW Option,Unknown,Direct,IDCW
,Edelweiss Overnight Fund - Direct Plan - Daily - IDCW Option,Unknown,Direct,IDCW
0P0001I39M.BO,Edelweiss Overnight Fund - Direct Plan - Fortnightly - IDCW Option,Unknown,Direct,IDCW
0P0001I39G.BO,Edelweiss Overnight Fund - Direct Plan - Growth,Unknown,Direct,Growth
0P0001I39N.BO,Edelweiss Overnight Fund - Direct Plan - Monthly - IDCW Option,Unknown,Direct,IDCW
,Edelweiss Overnight Fund - Direct Plan - Weekly - IDCW Option,Unknown,Direct,IDCW
0P0001I3A5.BO,Edelweiss Overnight Fund - Regular Plan - Annual - IDCW Option,Unknown,Regular,IDCW
,Edelweiss Overnight Fund - Regular Plan - Daily - IDCW Option,Unknown,Regular,IDCW
0P0001I3A3.BO,Edelweiss Overnight Fund - Regular Plan - Fortnightly - IDCW Option,Unknown,Regular,IDCW
0P0001I39X.BO,Edelweiss Overnight Fund - Regular Plan - Growth,Unknown,Regular,Growth
0P0001I3A4.BO,Edelweiss Overnight Fund - Regular Plan - Monthly - IDCW Option,Unknown,Regular,IDCW
,Edelweiss Overnight Fund - Regular Plan - Weekly - IDCW Option,Unknown,Regular,IDCW
,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Above 3 years,Unknown,Unknown,IDCW
,Edelweiss Overnight Fund - Unclaimed IDCW Plan - Upto 3 years,Unknown,Unknown,IDCW
,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Above 3 years,Unknown,Unknown,Unknown
,Edelweiss Overnight Fund - Unclaimed Redemption Plan - Upto 3 years,Unknown,Unknown,Unknown
,Franklin India Overnight Fund - Daily Dividend Plan - Daily - IDCW,Franklin Templeton Mutual Fund,Unknown,IDCW
,Franklin India Overnight Fund - Direct Daily Dividend Plan - Daily - IDCW,Franklin Templeton Mutual Fund,Direct,IDCW
0P0001HFHN.BO,Franklin India Overnight Fund - Direct Weekly Dividend Plan - Weekly - IDCW,Franklin Templeton Mutual Fund,Direct,IDCW
0P0001HFHR.BO,Franklin India Overnight Fund - Weekly Dividend Plan - Weekly - IDCW,Franklin Templeton Mutual Fund,Unknown,IDCW
0P0001HFHS.BO,Franklin India Overnight fund- Growth,Franklin Templeton Mutual Fund,Unknown,Growth
0P0001HFHO.BO,Franklin India Overnight Fund- Growth - Direct,Franklin Templeton Mutual Fund,Direct,Growth
,Franklin India Overnight Fund- Unclaimed IDCW Investor Education Plan,Franklin Templeton Mutual Fund,Unknown,IDCW
,Franklin India Overnight Fund- Unclaimed IDCW Plan,Franklin Templeton Mutual Fund,Unknown,IDCW
,Franklin India Overnight Fund- Unclaimed Redemption Investor EducationPlan,Franklin Templeton Mutual Fund,Unknown,Unknown
,Franklin India Overnight Fund- Unclaimed Redemption Plan,Franklin Templeton Mutual Fund,Unknown,Unknown
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),Unknown,Direct,IDCW
0P0001HUZT.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Direct,IDCW
0P0001HUZW.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option,Unknown,Direct,Growth
0P0001HV0D.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Direct,IDCW
0P0001HUZZ.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Direct,IDCW
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment),Unknown,Regular,IDCW
0P0001HV03.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Regular,IDCW
0P0001HV06.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Growth Option,Unknown,Regular,Growth
0P0001HV07.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Regular,IDCW
0P0001HV09.BO,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),Unknown,Regular,IDCW
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Dividend < 3 years,Unknown,Unknown,IDCW
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Dividend > 3 Years,Unknown,Unknown,IDCW
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Redemption < 3 Years,Unknown,Unknown,Unknown
,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Unclaimed Redemption > 3 Years,Unknown,Unknown,Unknown
,HDFC Overnight Fund - Daily IDCW Option - Direct Plan,HDFC Mutual Fund,Direct,IDCW
0P00005WLO.BO,HDFC Overnight Fund - Growth Option,HDFC Mutual Fund,Unknown,Growth
0P0000XW6T.BO,HDFC Overnight Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Direct,Growth
,HDFC Overnight Fund - IDCW Option (Daily),HDFC Mutual Fund,Unknown,IDCW
0P0001RQS3.BO,Helios Overnight Fund - Direct Plan - Daily IDCW Option,Unknown,Direct,IDCW
0P0001RQS2.BO,Helios Overnight Fund - Direct Plan - Growth Option,Unknown,Direct,Growth
0P0001RQS5.BO,Helios Overnight Fund - Regular Plan - Daily IDCW Option,Unknown,Regular,IDCW
0P0001RQS4.BO,Helios Overnight Fund - Regular Plan - Growth Option,Unknown,Regular,Growth
,HSBC Overnight Fund - Direct Daily IDCW,HSBC Mutual Fund,Direct,IDCW
0P0001HHJE.BO,HSBC Overnight Fund - Direct Growth,HSBC Mutual Fund,Direct,Growth
0P0001HHJG.BO,HSBC Overnight Fund - Direct Monthly IDCW,HSBC Mutual Fund,Direct,IDCW
0P0001HHJF.BO,HSBC Overnight Fund - Direct Weekly IDCW,HSBC Mutual Fund,Direct,IDCW
,HSBC Overnight Fund - Regular Daily IDCW,HSBC Mutual Fund,Regular,IDCW
0P0001HHJK.BO,HSBC Overnight Fund - Regular Growth,HSBC Mutual Fund,Regular,Growth
0P0001HHJM.BO,HSBC Overnight Fund - Regular Monthly IDCW,HSBC Mutual Fund,Regular,IDCW
0P0001HHJL.BO,HSBC Overnight Fund - Regular Weekly IDCW,HSBC Mutual Fund,Regular,IDCW
,HSBC Overnight Fund - Unclaimed IDCW Above three years,HSBC Mutual Fund,Unknown,IDCW
,HSBC Overnight Fund - Unclaimed IDCW Below three years,HSBC Mutual Fund,Unknown,IDCW
,HSBC Overnight Fund - Unclaimed Redemption above three years,HSBC Mutual Fund,Unknown,Unknown
,HSBC Overnight Fund - Unclaimed Redemption Below three years,HSBC Mutual Fund,Unknown,Unknown
,ICICI Prudential Overnight Fund - Annual IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Overnight Fund - Daily IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Overnight Fund - Direct Plan - Annual IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Overnight Fund - Direct Plan - Daily IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Overnight Fund - Direct Plan - Fortnightly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
0P0001F2JT.BO,ICICI Prudential Overnight Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Direct,Growth
,ICICI Prudential Overnight Fund - Direct Plan - Half Yearly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Overnight Fund - Direct Plan - Monthly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Overnight Fund - Direct Plan - Quarterly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
0P0001O0XZ.BO,ICICI Prudential Overnight fund - Direct Plan - Unclaimed IDCW Stable Scheme,ICICI Prudential Mutual Fund,Direct,IDCW
0P0001O0XW.BO,ICICI Prudential Overnight fund - Direct Plan - Unclaimed IDCW Transitory Scheme,ICICI Prudential Mutual Fund,Direct,IDCW
0P0001O0XX.BO,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Stable Scheme,ICICI Prudential Mutual Fund,Direct,Unknown
0P0001O0XY.BO,ICICI Prudential Overnight fund - Direct Plan - Unclaimed Redemption Transitory Scheme,ICICI Prudential Mutual Fund,Direct,Unknown
0P0001F2J1.BO,ICICI Prudential Overnight Fund - Direct Plan - Weekly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Overnight Fund - Fortnightly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
0P0001F2JE.BO,ICICI Prudential Overnight Fund - Growth,ICICI Prudential Mutual Fund,Unknown,Growth
,ICICI Prudential Overnight Fund - Half Yearly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Overnight Fund - Monthly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Overnight Fund - Quarterly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
0P0001F2JG.BO,ICICI Prudential Overnight Fund - Weekly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,Invesco India Overnight Fund - Direct Plan - Daily IDCW (Reinvestment),Unknown,Direct,IDCW
0P0001J1BM.BO,Invesco India Overnight Fund - Direct Plan - Growth,Unknown,Direct,Growth
0P0001J1BN.BO,Invesco India Overnight Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Unknown,Direct,IDCW
,Invesco India Overnight Fund - Direct Plan - Weekly IDCW (Reinvestment),Unknown,Direct,IDCW
,Invesco India Overnight Fund - Regular Plan - Daily IDCW (Reinvestment),Unknown,Regular,IDCW
0P0001J1BR.BO,Invesco India Overnight Fund - Regular Plan - Growth,Unknown,Regular,Growth
0P0001J1BS.BO,Invesco India Overnight Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Unknown,Regular,IDCW
,Invesco India Overnight Fund - Regular Plan - Weekly IDCW (Reinvestment),Unknown,Regular,IDCW
0P0001IK1F.BO,ITI Overnight Fund - Direct Plan - Annual IDCW Option,Unknown,Direct,IDCW
,ITI Overnight Fund - Direct Plan - Daily IDCW Option,Unknown,Direct,IDCW
0P0001IK1D.BO,ITI Overnight Fund - Direct Plan - Fortnightly IDCW Option,Unknown,Direct,IDCW
0P0001IK1C.BO,ITI Overnight Fund - Direct Plan - Growth Option,Unknown,Direct,Growth
0P0001IK1E.BO,ITI Overnight Fund - Direct Plan - Monthly IDCW Option,Unknown,Direct,IDCW
,ITI Overnight Fund - Direct Plan - Weekly IDCW option,Unknown,Direct,IDCW
0P0001IK1O.BO,ITI Overnight Fund - Regular Plan - Annual IDCW Option,Unknown,Regular,IDCW
,ITI Overnight Fund - Regular Plan - Daily IDCW Option,Unknown,Regular,IDCW
0P0001IK1M.BO,ITI Overnight Fund - Regular Plan - Fortnightly IDCW Option,Unknown,Regular,IDCW
0P0001IK1L.BO,ITI Overnight Fund - Regular Plan - Growth Option,Unknown,Regular,Growth
0P0001IK1N.BO,ITI Overnight Fund - Regular Plan - Monthly IDCW Option,Unknown,Regular,IDCW
,ITI Overnight Fund - Regular Plan - Weekly IDCW Option,Unknown,Regular,IDCW
0P0001W6ZZ.BO,JioBlackRock Overnight Fund - Direct Plan - Growth Option,Unknown,Direct,Growth
,JioBlackRock Overnight Fund - Unclaimed Redemption - Upto 3 years - Growth Option,Unknown,Unknown,Growth
,JM Overnight Fund (Direct) - Daily IDCW,Unknown,Direct,IDCW
0P0001IUJT.BO,JM Overnight Fund (Direct) - Weekly IDCW,Unknown,Direct,IDCW
,JM Overnight Fund (Regular) - Daily IDCW,Unknown,Regular,IDCW
0P0001IUJW.BO,JM Overnight Fund (Regular) - Growth,Unknown,Regular,Growth
0P0001IUJX.BO,JM Overnight Fund (Regular) - Weekly IDCW,Unknown,Regular,IDCW
0P0001IUJS.BO,JM Overnight Fund - (Direct) - Growth,Unknown,Direct,Growth
,JM Overnight Fund - (Direct) - Unclaimed IDCW - Growth Plan,Unknown,Direct,IDCW
,JM Overnight Fund - (Direct) - Unclaimed IDCW I.E.F. - Growth Plan,Unknown,Direct,IDCW
,JM Overnight Fund - (Direct) - Unclaimed Redemption - Growth Plan,Unknown,Direct,Growth
,JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan,Unknown,Direct,Growth
0P0001FI85.BO,Kotak Overnight Fund -Direct Plan-Growth Option,Kotak Mahindra Mutual Fund,Direct,Unknown
0P0001FI89.BO,Kotak Overnight Fund -Regular plan-Growth Option,Kotak Mahindra Mutual Fund,Regular,Unknown
,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Unknown,IDCW
,Kotak Overnight Fund-Regular Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Unknown,IDCW
,LIC MF Overnight Fund-Direct Plan-Daily IDCW,LIC Mutual Fund,Unknown,IDCW
0P0001I1CX.BO,LIC MF Overnight Fund-Direct Plan-Growth,LIC Mutual Fund,Unknown,Unknown
0P0001I1CY.BO,LIC MF Overnight Fund-Direct Plan-IDCW,LIC Mutual Fund,Unknown,Unknown
,LIC MF Overnight Fund-Direct Plan-Weekly IDCW,LIC Mutual Fund,Unknown,IDCW
,LIC MF Overnight Fund-Regular Plan-Daily IDCW,LIC Mutual Fund,Unknown,IDCW
0P0001I1D2.BO,LIC MF Overnight Fund-Regular Plan-Growth,LIC Mutual Fund,Unknown,Unknown
0P0001I1D3.BO,LIC MF Overnight Fund-Regular Plan-IDCW,LIC Mutual Fund,Unknown,Unknown
,LIC MF Overnight Fund-Regular Plan-Weekly IDCW,LIC Mutual Fund,Unknown,IDCW
,Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW,Unknown,Direct,IDCW
0P0001I38H.BO,Mahindra Manulife Overnight Fund - Direct Plan -Growth,Unknown,Direct,Growth
,Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW,Unknown,Regular,IDCW
0P0001I38J.BO,Mahindra Manulife Overnight Fund - Regular Plan - Growth,Unknown,Regular,Growth
,Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years,Unknown,Unknown,Unknown
,Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years,Unknown,Unknown,Unknown
,Mirae Asset Overnight Fund Direct Daily IDCW,Mirae Asset Mutual Fund,Direct,IDCW
0P0001IK3H.BO,Mirae Asset Overnight Fund Direct Monthly IDCW,Mirae Asset Mutual Fund,Direct,IDCW
0P0001IK3G.BO,Mirae Asset Overnight Fund Direct Plan Growth,Mirae Asset Mutual Fund,Direct,Growth
,Mirae Asset Overnight Fund Direct Weekly IDCW,Mirae Asset Mutual Fund,Direct,IDCW
,Mirae Asset Overnight Fund Regular Daily  IDCW ,Mirae Asset Mutual Fund,Regular,IDCW
